CATALOG_BRAND,LAST_COMPLETED_WEEK_START,REV_WK_5,REV_WK_4,REV_WK_3,REV_WK_2,REV_WK_1,REV_WK_0,UNITS_WK_5,UNITS_WK_4,UNITS_WK_3,UNITS_WK_2,UNITS_WK_1,UNITS_WK_0,LAST_WEEK_REV,LAST_WEEK_UNITS,LAST_WEEK_REV_YOY,LAST_WEEK_UNITS_YOY,LAST_WEEK_REV_YOY_PCT,LAST_WEEK_UNITS_YOY_PCT,YTD_REV,YTD_UNITS,YTD_REV_YOY,YTD_UNITS_YOY,YTD_REV_YOY_PCT,YTD_UNITS_YOY_PCT,FCST_13W_UNITS_TOTAL_IM,FCST_13W_UNITS_RUN_RATE_IM,FCST_13W_UNITS_RUN_RATE_YOY_IM,FCST_13W_UNITS_RUN_RATE_YOY_PCT_IM,FCST_13W_UNITS_TOTAL_AE,FCST_13W_UNITS_RUN_RATE_AE,FCST_13W_UNITS_RUN_RATE_YOY_AE,FCST_13W_UNITS_RUN_RATE_YOY_PCT_AE,INVENTORY_UNITS,INVENTORY_VALUE_USD,WOS_WEEKS_IM,WOS_WEEKS_AE
All Brands,2026-03-15,"55,664,184","55,275,795","55,903,855","56,363,415","57,310,997","58,262,955","1,639,287","1,625,606","1,633,064","1,638,509","1,658,554","1,688,877","58,262,955","1,688,877","40,030,766","1,165,620",46%,45%,"616,815,229","18,300,633","451,270,315","13,249,906",37%,38%,"22,646,346","1,742,027","1,240,666",40%,0,0,"1,240,666",-100%,"12,550,972","251,049,898",7,
Atrium - Pure Encapsulations,2026-03-15,"11,623,638","11,794,714","11,954,308","11,959,456","12,173,238","12,368,418","312,221","315,302","317,084","318,004","322,241","325,534","12,368,418","325,534","8,348,516","230,636",48%,41%,"133,382,180","3,648,536","94,247,291","2,628,818",42%,39%,"4,301,919","330,917","246,649",34%,0,0,"246,649",-100%,"1,945,492","40,164,189",6,
Thorne Research,2026-03-15,"10,159,238","10,079,062","10,078,613","10,273,218","10,504,701","10,888,239","285,756","281,931","281,979","286,997","292,074","301,447","10,888,239","301,447","5,949,660","177,585",83%,70%,"111,610,288","3,155,291","64,186,874","2,026,502",74%,56%,"3,780,282","290,791","191,733",52%,0,0,"191,733",-100%,"1,858,724","42,532,714",6,
MegaFood,2026-03-15,"1,493,626","1,416,915","1,400,805","1,393,840","1,400,662","1,493,340","53,259","51,084","50,812","50,238","50,020","52,465","1,493,340","52,465","1,190,618","44,220",25%,19%,"15,986,302","577,231","13,232,649","502,913",21%,15%,"643,153","49,473","44,279",12%,0,0,"44,279",-100%,"382,160","6,485,188",8,
Integrative Therapeutics,2026-03-15,"1,356,178","1,297,295","1,341,794","1,326,694","1,283,004","1,421,963","44,017","42,224","43,206","42,943","40,692","44,688","1,421,963","44,688","1,142,087","36,721",25%,22%,"14,799,464","490,604","13,310,268","433,185",11%,13%,"549,818","42,294","38,200",11%,0,0,"38,200",-100%,"289,529","4,765,779",7,
Metagenics,2026-03-15,"1,548,963","1,501,454","1,530,426","1,573,836","1,618,616","1,711,605","36,818","35,731","36,124","36,876","37,709","39,457","1,711,605","39,457","1,111,473","24,655",54%,60%,"17,321,047","424,153","12,549,610","285,693",38%,48%,"541,986","41,691","26,389",58%,0,0,"26,389",-100%,"261,579","7,512,191",6,
KONG,2026-03-15,"436,730","454,668","454,387","439,848","429,522","431,888","34,587","36,216","35,755","34,842","34,511","34,366","431,888","34,366","347,504","28,373",24%,21%,"4,937,162","392,867","4,100,211","336,291",20%,17%,"465,625","35,817","28,385",26%,0,0,"28,385",-100%,"253,961","1,018,945",7,
Swanson,2026-03-15,"599,314","560,599","551,870","579,626","585,368","584,207","36,070","33,446","32,688","34,540","35,223","34,868","584,207","34,868","424,182","26,892",38%,30%,"6,491,726","390,783","4,376,440","277,186",48%,41%,"456,228","35,094","28,078",25%,0,0,"28,078",-100%,"321,689","2,654,368",9,
Gaia Herbs,2026-03-15,"859,898","813,462","782,031","778,358","797,962","837,609","26,075","24,781","23,698","23,450","24,008","24,985","837,609","24,985","778,113","23,182",8%,8%,"9,222,907","283,494","9,759,157","292,192",-5%,-3%,"343,573","26,429","20,178",31%,0,0,"20,178",-100%,"183,962","3,490,641",7,
Natural Factors,2026-03-15,"572,934","556,267","567,287","566,499","573,210","678,821","23,951","23,299","23,700","23,329","23,734","29,217","678,821","29,217","365,084","14,769",86%,98%,"6,484,708","273,852","3,762,062","156,220",72%,75%,"315,410","24,262","16,839",44%,0,0,"16,839",-100%,"146,663","1,799,725",6,
Vetoquinol,2026-03-15,"759,326","741,624","736,923","710,800","730,424","748,979","24,709","24,449","24,501","23,468","23,829","24,043","748,979","24,043",0,0,,,"8,261,332","273,122",0,0,,,"307,421","23,648",,,0,0,,,"163,097","2,827,352",7,
Standard Process,2026-03-15,"835,961","856,714","854,188","843,569","830,501","869,497","22,587","22,515","22,415","22,175","21,811","22,560","869,497","22,560","833,557","19,728",4%,14%,"9,524,797","254,545","9,845,092","232,306",-3%,10%,"285,665","21,974","19,039",15%,0,0,"19,039",-100%,"154,954","3,653,260",7,
Yogi,2026-03-15,"423,476","450,319","451,611","450,711","411,099","407,012","20,530","21,557","22,189","22,151","20,010","19,608","407,012","19,608","437,722","21,072",-7%,-7%,"5,136,273","247,363","5,879,262","284,003",-13%,-13%,"240,911","18,532","17,919",3%,0,0,"17,919",-100%,"259,438","2,162,138",14,
Trace Minerals,2026-03-15,"614,436","582,090","541,810","492,826","389,938","261,105","24,345","26,245","24,056","19,895","16,111","9,665","261,105","9,665","476,145","18,408",-45%,-47%,"5,858,415","246,540","5,329,666","205,858",10%,20%,"11,887",914,"19,290",-95%,0,0,"19,290",-100%,"54,226","1,069,488",59,
Dr Mercola,2026-03-15,"679,328","641,801","642,273","619,633","621,888","649,043","22,493","21,529","21,260","20,332","19,752","20,582","649,043","20,582","639,158","20,273",2%,2%,"7,354,998","241,368","6,900,415","222,506",7%,8%,"306,482","23,576","21,594",9%,0,0,"21,594",-100%,"100,661","1,873,853",4,
Hims & Hers,2026-03-15,"500,363","468,333","486,727","478,784","477,409","504,717","23,997","19,391","19,708","19,864","19,735","20,492","504,717","20,492",0,0,,,"5,507,428","241,044",0,0,,,"275,274","21,175",586,"3,512%",0,0,586,-100%,"212,988","2,170,526",10,
Sakura,2026-03-15,"274,838","267,941","292,943","263,685","254,969","245,799","19,873","19,279","20,429","18,264","18,046","17,386","245,799","17,386","204,985","14,932",20%,16%,"3,232,819","233,977","2,902,174","210,928",11%,11%,"235,105","18,085","13,260",36%,0,0,"13,260",-100%,"193,626","1,286,341",11,
Youtheory,2026-03-15,"340,803","330,795","331,991","348,030","363,864","373,608","19,042","18,655","19,257","19,254","20,060","20,424","373,608","20,424","289,151","16,290",29%,25%,"3,895,690","220,425","3,148,476","181,915",24%,21%,"297,688","22,899","16,201",41%,0,0,"16,201",-100%,"152,295","1,301,361",7,
GNC,2026-03-15,"853,796","910,460","958,660","1,022,129","1,035,378","1,062,879","22,008","23,473","24,667","26,854","27,118","27,808","1,062,879","27,808",0,0,,,"8,000,033","208,463",0,0,,,"404,575","31,121",,,0,0,,,"147,970","2,855,350",5,
Sylvania,2026-03-15,"411,258","447,030","406,501","429,547","439,847","381,382","17,456","18,976","17,237","18,320","18,886","16,857","381,382","16,857","234,476","17,660",63%,-5%,"4,682,943","198,460","3,446,976","225,755",36%,-12%,"230,154","17,704","18,733",-5%,0,0,"18,733",-100%,"151,143","1,879,268",9,
Spanx,2026-03-15,"661,367","680,893","711,352","728,253","742,664","712,372","16,625","16,627","17,142","17,630","18,189","17,478","712,372","17,478","523,707","14,485",36%,21%,"7,769,643","190,528","5,658,638","158,172",37%,20%,"151,537","11,657","17,828",-35%,0,0,"17,828",-100%,"200,120","4,692,375",17,
Pura,2026-03-15,"589,574","494,007","497,585","525,831","566,376","556,793","19,658","14,194","14,196","14,653","15,866","16,001","556,793","16,001","324,053","8,658",72%,85%,"5,861,844","171,918","3,439,622","97,383",70%,77%,"262,948","20,227","10,657",90%,0,0,"10,657",-100%,"162,502","3,674,099",8,
Seeking Health,2026-03-15,"460,504","457,749","444,877","432,776","445,133","470,866","14,036","13,936","13,746","13,316","13,619","14,585","470,866","14,585","333,785","10,953",41%,33%,"4,927,475","154,533","3,453,207","116,137",43%,33%,"180,967","13,921","11,181",25%,0,0,"11,181",-100%,"78,193","1,416,066",6,
Host Defense,2026-03-15,"475,405","456,991","447,330","453,921","467,922","470,526","13,853","13,469","13,319","13,321","13,705","13,725","470,526","13,725","483,127","14,457",-3%,-5%,"5,261,648","154,526","5,628,592","170,422",-7%,-9%,"187,201","14,400","13,864",4%,0,0,"13,864",-100%,"78,232","1,285,880",5,
Kevin Murphy,2026-03-15,"467,525","452,764","472,604","501,936","519,594","497,049","12,943","12,415","12,832","13,671","14,136","13,667","497,049","13,667","408,709","10,491",22%,30%,"5,194,052","142,991","3,422,615","88,710",52%,61%,"175,405","13,493","11,001",23%,0,0,"11,001",-100%,"76,962","1,788,246",6,
EZ Melts,2026-03-15,"275,699","266,329","274,858","278,786","282,038","292,970","13,045","12,527","12,879","13,026","13,228","13,657","292,970","13,657",0,0,,,"2,908,215","142,158",0,0,,,"183,907","14,147","2,622",440%,0,0,"2,622",-100%,"93,361","1,133,883",7,
Vital Nutrients,2026-03-15,"446,574","442,325","426,058","428,156","440,310","456,704","12,446","12,240","11,710","11,664","11,971","12,303","456,704","12,303","391,892","11,222",17%,10%,"4,894,241","137,029","4,326,024","125,446",13%,9%,"158,982","12,229","11,240",9%,0,0,"11,240",-100%,"71,928","1,550,048",6,
Superfeet,2026-03-15,"626,180","646,994","657,811","721,489","726,408","653,548","11,656","12,058","12,482","13,644","13,687","11,603","653,548","11,603","646,683","11,990",1%,-3%,"7,229,181","136,913","6,650,953","123,760",9%,11%,"182,068","14,005","13,194",6%,0,0,"13,194",-100%,"111,878","3,243,173",8,
Kreg,2026-03-15,"521,659","546,903","576,340","559,794","565,209","544,188","10,908","11,983","12,258","12,507","12,948","11,978","544,188","11,978","560,337","12,648",-3%,-5%,"6,287,220","136,038","6,795,651","151,073",-7%,-10%,"145,446","11,188","10,571",6%,0,0,"10,571",-100%,"94,692","3,375,772",8,
LifeScan,2026-03-15,"528,557","522,779","520,705","534,289","529,518","523,978","11,455","11,134","11,122","11,738","11,704","11,481","523,978","11,481","477,415","10,092",10%,14%,"5,941,039","129,424","5,329,019","113,412",11%,14%,"149,064","11,466","10,210",12%,0,0,"10,210",-100%,"83,092","2,274,200",7,
FROG,2026-03-15,"610,383","691,440","616,907","649,609","705,464","716,976","11,484","12,690","11,507","11,714","12,585","12,583","716,976","12,583","57,537","1,741","1,146%",623%,"6,881,132","126,029","482,422","14,247","1,326%",785%,"236,233","18,172","4,008",353%,0,0,"4,008",-100%,"163,198","3,417,313",9,
Feetures,2026-03-15,"255,233","268,915","271,174","307,997","314,393","305,192","11,060","11,521","11,714","13,186","13,451","12,377","305,192","12,377","245,852","13,200",24%,-6%,"2,904,139","123,433","2,468,332","136,788",18%,-10%,"143,221","11,017","16,489",-33%,0,0,"16,489",-100%,"105,263","1,061,838",10,
Indigo Wild,2026-03-15,"238,030","249,210","251,176","259,289","243,668","247,000","10,827","11,366","11,449","11,794","11,144","11,202","247,000","11,202","171,317","7,957",44%,41%,"2,697,399","122,915","2,121,104","96,769",27%,27%,"140,470","10,805","9,168",18%,0,0,"9,168",-100%,"79,788","663,555",7,
NatureBell,2026-03-15,"278,871","276,139","295,889","283,240","314,998","459,915","11,130","11,034","11,737","11,247","12,566","18,508","459,915","18,508",0,0,,,"2,958,803","117,003",0,0,,,"314,043","24,157",,,0,0,,,"160,121","2,320,793",7,
Uqora,2026-03-15,"361,543","366,638","339,717","346,354","348,703","362,773","10,586","10,711","10,018","9,961","9,979","10,199","362,773","10,199","172,389","4,654",110%,119%,"3,945,835","114,518","1,894,980","50,950",108%,125%,"169,407","13,031","5,309",145%,0,0,"5,309",-100%,"88,653","1,881,216",7,
Nature's Way,2026-03-15,"142,079","140,265","141,479","147,586","147,759","148,223","9,613","9,635","9,659","10,003","9,995","9,952","148,223","9,952","132,401","8,747",12%,14%,"1,651,559","112,057","1,753,234","117,372",-6%,-5%,"129,190","9,938","8,955",11%,0,0,"8,955",-100%,"59,276","392,280",6,
MediNatura,2026-03-15,"209,376","205,389","207,375","219,047","221,847","225,417","9,765","9,507","9,598","10,163","10,200","10,340","225,417","10,340",0,0,,,"2,383,256","111,116",0,0,,,"131,765","10,136","5,911",71%,0,0,"5,911",-100%,"56,654","644,706",6,
Bariatric Advantage,2026-03-15,"368,043","359,467","365,423","358,630","374,448","392,733","9,412","9,190","9,273","9,095","9,346","9,725","392,733","9,725","293,421","7,556",34%,29%,"4,077,054","107,706","3,376,894","85,547",21%,26%,"132,184","10,168","7,749",31%,0,0,"7,749",-100%,"69,122","1,717,741",7,
SmartMouth,2026-03-15,"179,184","175,069","176,118","182,303","180,911","181,547","9,149","9,348","9,493","9,503","9,172","8,507","181,547","8,507","156,080","8,083",16%,5%,"1,995,864","103,567","1,673,982","87,542",19%,18%,"134,902","10,377","7,905",31%,0,0,"7,905",-100%,"81,952","691,393",8,
Allergy Research Group,2026-03-15,"383,942","375,609","378,499","391,417","392,577","396,355","9,282","8,998","8,943","9,275","9,236","9,303","396,355","9,303",0,0,,,"4,218,581","101,543",0,0,,,"121,326","9,333",,,0,0,,,"71,306","1,867,983",8,
Terry Naturally,2026-03-15,"470,471","439,487","430,466","419,409","288,796","204,717","10,101","9,478","9,447","9,115","5,913","3,892","204,717","3,892","378,905","8,440",-46%,-54%,"4,640,920","100,774","3,915,801","88,487",19%,14%,"10,125",779,"9,413",-92%,0,0,"9,413",-100%,"15,274","469,203",20,
Timeless Skin Care,2026-03-15,"242,471","230,777","242,920","233,353","298,403","307,586","9,516","7,981","8,554","7,716","10,414","10,556","307,586","10,556","76,481","2,544",302%,315%,"2,868,771","100,254","1,356,041","47,480",112%,111%,"134,501","10,346","5,152",101%,0,0,"5,152",-100%,"42,487","610,613",4,
Salus,2026-03-15,"298,933","302,532","310,551","312,231","313,703","336,785","8,579","8,749","9,066","9,241","9,129","9,696","336,785","9,696","253,414","7,135",33%,36%,"3,292,627","97,756","2,815,885","77,717",17%,26%,"115,761","8,905","6,848",30%,0,0,"6,848",-100%,"58,534","1,301,261",7,
Superior Source,2026-03-15,"122,484","116,027","118,302","116,879","118,854","120,615","8,800","8,313","8,410","8,243","8,358","8,428","120,615","8,428","114,701","8,174",5%,3%,"1,342,436","96,636","1,344,754","96,277",0%,0%,"108,738","8,364","8,097",3%,0,0,"8,097",-100%,"60,348","396,089",7,
Kyolic,2026-03-15,"224,972","186,301","211,266","217,193","242,733","262,933","8,366","7,230","7,900","7,978","9,031","9,848","262,933","9,848",0,0,,,"2,605,337","95,762",0,0,,,"122,225","9,402",,,0,0,,,"62,543","876,337",7,
Zahler,2026-03-15,"228,338","248,345","237,770","221,977","213,406","217,399","9,620","10,230","10,017","9,296","8,983","9,143","217,399","9,143",0,0,,,"2,266,586","95,583",0,0,,,"131,236","10,095",,,0,0,,,"73,547","912,879",7,
Barimelts,2026-03-15,"211,754","207,863","212,128","206,458","211,081","217,591","8,640","8,469","8,601","8,329","8,488","8,731","217,591","8,731",0,0,,,"2,241,623","95,239",0,0,,,"126,977","9,767",,,0,0,,,"58,047","818,387",6,
Nite Ize,2026-03-15,"137,280","135,213","138,266","139,065","149,733","140,664","7,912","7,631","7,731","7,630","8,056","7,511","140,664","7,511","122,025","8,281",15%,-9%,"1,582,082","89,414","1,302,988","88,334",21%,1%,"123,960","9,535","9,890",-4%,0,0,"9,890",-100%,"82,739","666,008",9,
Golf Pride,2026-03-15,"238,104","273,235","283,128","318,261","331,794","305,388","7,458","8,355","8,545","9,130","9,752","9,761","305,388","9,761","213,049","15,020",43%,-35%,"2,621,867","89,344","1,361,916","89,629",93%,0%,"132,551","10,196","15,504",-34%,0,0,"15,504",-100%,"45,318","678,179",4,
Gimme Beauty,2026-03-15,"57,963","59,305","59,309","59,568","66,722","77,275","6,935","7,115","7,096","7,338","7,693","8,940","77,275","8,940","35,978","2,917",115%,206%,"660,882","78,680","213,789","17,059",209%,361%,"105,134","8,087","3,073",163%,0,0,"3,073",-100%,"51,964","136,831",6,
AdvoCare,2026-03-15,"264,669","266,691","274,471","275,440","262,106","265,452","6,724","6,656","6,847","7,047","6,701","6,733","265,452","6,733","277,007","6,640",-4%,1%,"2,961,108","77,008","2,980,745","73,424",-1%,5%,"94,707","7,285","6,097",19%,0,0,"6,097",-100%,"40,757","978,640",6,
The Genius Brand,2026-03-15,"171,951","255,384","159,660","154,710","156,405","155,322","7,032","12,459","7,307","5,948","5,774","6,524","155,322","6,524",0,0,,,"1,830,484","76,030",0,0,,,"80,250","6,173","4,285",44%,0,0,"4,285",-100%,"160,848","2,723,233",26,
Kano Labs,2026-03-15,"120,839","130,534","156,974","147,151","138,193","141,654","6,004","6,490","8,828","7,820","7,066","7,534","141,654","7,534",0,0,,,"1,410,280","73,192",0,0,,,"93,586","7,199",,,0,0,,,"40,362","529,171",6,
Adventure Ready Brands,2026-03-15,"130,994","156,763","170,405","193,501","219,980","215,984","4,673","5,447","6,067","6,916","7,773","7,570","215,984","7,570","185,723","7,471",16%,1%,"1,957,238","70,334","1,624,601","64,866",20%,8%,"245,934","18,918","15,373",23%,0,0,"15,373",-100%,"101,519","1,297,711",5,
Queen of the Thrones,2026-03-15,"185,715","215,029","209,073","188,695","191,331","178,811","5,522","6,272","6,172","5,608","5,707","5,329","178,811","5,329",0,0,,,"2,227,650","67,063",0,0,,,"77,820","5,986",453,"1,222%",0,0,453,-100%,"46,974","870,073",8,
Atrium - Douglas Laboratories,2026-03-15,"162,773","167,090","165,695","164,251","163,826","167,785","5,800","5,874","5,849","5,758","5,850","5,905","167,785","5,905","173,785","6,163",-3%,-4%,"1,842,796","65,995","1,933,637","69,402",-5%,-5%,"79,688","6,130","6,111",0%,0,0,"6,111",-100%,"39,219","629,056",6,
Pandora,2026-03-15,"824,988","383,177","301,138","275,905","268,443","275,754","14,724","6,034","4,313","3,897","3,766","3,813","275,754","3,813","174,363","2,425",58%,57%,"4,167,300","63,689","3,277,576","51,806",27%,23%,"89,782","6,906","4,536",52%,0,0,"4,536",-100%,"79,830","2,942,113",12,
ResMed,2026-03-15,"198,111","185,203","184,447","190,558","218,604","252,012","5,555","4,927","4,900","4,395","5,131","5,317","252,012","5,317","391,038","10,422",-36%,-49%,"2,283,286","59,702","4,529,547","120,429",-50%,-50%,"71,898","5,531","9,073",-39%,0,0,"9,073",-100%,"50,704","1,440,283",9,
Wahl Pro Animal,2026-03-15,"258,371","286,692","308,899","310,105","318,756","311,470","4,493","5,105","5,777","5,254","5,544","5,388","311,470","5,388","348,073","5,661",-11%,-5%,"3,068,793","55,837","3,476,785","50,416",-12%,11%,"70,797","5,446","4,864",12%,0,0,"4,864",-100%,"32,587","998,420",6,
Atrium - Seroyal,2026-03-15,"152,707","150,636","151,404","156,423","150,768","142,940","4,734","4,729","4,732","4,831","4,734","4,495","142,940","4,495","134,909","4,248",6%,6%,"1,745,905","54,767","1,596,399","50,556",9%,8%,"58,657","4,512","4,092",10%,0,0,"4,092",-100%,"44,196","803,816",10,
Skull Shaver,2026-03-15,"324,700","298,289","315,132","289,888","300,486","295,277","4,908","4,665","4,825","4,554","4,714","4,542","295,277","4,542","335,377","5,366",-12%,-15%,"3,266,514","51,358","3,149,668","49,048",4%,5%,"61,213","4,709","4,583",3%,0,0,"4,583",-100%,"33,263","1,259,164",7,
Quicksilver Scientific,2026-03-15,"216,982","214,666","202,327","213,289","219,878","221,847","4,448","4,369","4,229","4,314","4,466","4,479","221,847","4,479","152,987","3,127",45%,43%,"2,390,874","48,751","1,829,330","36,845",31%,32%,"51,692","3,976","3,238",23%,0,0,"3,238",-100%,"27,005","771,304",7,
Cross,2026-03-15,"80,351","77,474","81,639","77,717","69,784","71,878","4,324","4,257","4,560","4,431","3,873","3,599","71,878","3,599",0,0,,,"856,365","47,055",0,0,,,"63,036","4,849",,,0,0,,,"50,477","656,129",10,
Garden of Life,2026-03-15,"121,843","126,783","142,343","151,691","147,646","135,002","4,016","4,283","4,590","4,925","4,717","4,504","135,002","4,504","7,763",282,"1,639%","1,497%","1,430,124","46,432","151,369","4,798",845%,868%,"62,737","4,826",839,475%,0,0,839,-100%,"35,002","624,473",7,
Atrium - Klean Athlete,2026-03-15,"148,252","141,150","143,142","138,711","138,948","148,237","4,003","3,836","3,827","3,719","3,733","3,995","148,237","3,995","122,641","3,430",21%,16%,"1,593,592","44,047","1,405,976","40,867",13%,8%,"54,716","4,209","3,859",9%,0,0,"3,859",-100%,"24,613","517,466",6,
Flora Health,2026-03-15,"107,525","103,071","116,998","118,867","121,127","114,344","3,597","3,536","3,985","3,869","3,916","3,724","114,344","3,724","36,386","1,183",214%,215%,"1,279,540","43,827","342,810","10,557",273%,315%,"60,847","4,681","2,206",112%,0,0,"2,206",-100%,"21,605","331,648",5,
DKB Household,2026-03-15,"138,344","138,573","139,632","131,854","130,375","123,473","3,771","3,946","3,934","3,770","3,746","3,598","123,473","3,598","122,870","4,241",0%,-15%,"1,510,045","43,739","1,585,120","55,950",-5%,-22%,"51,800","3,985","4,040",-1%,0,0,"4,040",-100%,"37,897","785,058",10,
Balance of Nature,2026-03-15,"387,396","347,595","340,104","335,504","360,583","360,458","3,955","3,496","3,409","3,387","3,623","3,537","360,458","3,537","529,320","5,207",-32%,-32%,"3,872,724","43,286","6,607,489","72,509",-41%,-40%,"51,356","3,950","4,722",-16%,0,0,"4,722",-100%,"42,350","2,188,301",11,
Emerald Laboratories,2026-03-15,"122,847","115,485","115,457","116,576","116,156","119,243","4,049","3,815","3,803","3,794","3,770","3,830","119,243","3,830","98,840","3,360",21%,14%,"1,309,103","42,939","1,127,333","38,200",16%,12%,"48,604","3,739","3,410",10%,0,0,"3,410",-100%,"29,576","520,660",8,
"Nutrex Hawaii, Inc.",2026-03-15,"131,461","143,158","142,541","127,313","148,499","158,117","3,425","3,825","3,808","3,503","4,086","4,364","158,117","4,364","84,720","2,655",87%,64%,"1,593,024","42,750","916,758","28,747",74%,49%,"37,269","2,867","2,857",0%,0,0,"2,857",-100%,"23,581","532,189",8,
Spectra Baby,2026-03-15,"363,100","335,689","422,435","357,162","381,443","356,909","4,091","4,252","4,571","3,890","4,064","3,881","356,909","3,881","228,126","3,198",56%,21%,"4,100,121","42,554","2,698,202","41,022",52%,4%,"56,974","4,383","4,272",3%,0,0,"4,272",-100%,"29,277","1,671,886",7,
Xymogen,2026-03-15,"229,907","250,327","253,830","273,427","297,900","254,441","3,778","4,064","4,166","4,493","4,965","4,122","254,441","4,122",0,0,,,"2,470,526","41,067",0,0,,,"120,111","9,239",,,0,0,,,"63,585","2,465,824",7,
Scent Beauty,2026-03-15,"105,907","84,191","89,905","90,134","86,795","88,574","4,221","3,538","3,707","3,639","3,511","3,641","88,574","3,641","88,912","3,441",0%,6%,"998,482","40,733","805,183","31,186",24%,31%,"50,725","3,902","3,598",8%,0,0,"3,598",-100%,"48,292","668,897",12,
Davinci Laboratories,2026-03-15,"122,488","112,778","118,095","125,981","123,006","134,734","3,557","3,265","3,409","3,580","3,484","3,698","134,734","3,698","107,823","3,087",25%,20%,"1,367,105","40,421","1,221,696","36,675",12%,10%,"47,201","3,631","3,215",13%,0,0,"3,215",-100%,"30,848","650,179",8,
Vitanica,2026-03-15,"107,938","99,945","99,657","99,962","103,711","103,285","3,838","3,563","3,523","3,414","3,644","3,598","103,285","3,598","106,676","3,653",-3%,-2%,"1,152,524","40,165","1,216,280","41,740",-5%,-4%,"47,313","3,639","2,698",35%,0,0,"2,698",-100%,"26,732","441,812",7,
Bayer,2026-03-15,"98,952","105,964","92,417","109,788","114,777","117,796","3,355","3,633","3,373","3,957","4,139","4,173","117,796","4,173","92,948","3,204",27%,30%,"1,136,635","39,551","958,662","31,380",19%,26%,"51,072","3,929","2,853",38%,0,0,"2,853",-100%,"24,071","337,633",6,
Dr. Emil,2026-03-15,"95,909","81,474","80,145","75,026","76,476","81,527","3,725","3,177","3,122","2,938","2,972","3,168","81,527","3,168","61,160","2,338",33%,36%,"947,054","36,828","150,416","5,551",530%,563%,"18,134","1,395","3,792",-63%,0,0,"3,792",-100%,"21,618","344,655",15,
Dr. Schulze's,2026-03-15,"146,147","135,572","140,517","136,373","139,711","144,346","3,140","2,908","3,035","2,973","3,059","3,075","144,346","3,075",0,0,,,"1,599,723","35,431",0,0,,,"36,944","2,842",,,0,0,,,"19,168","574,850",7,
Glanbia Performance Nutrition,2026-03-15,"122,919","139,887","149,318","96,055","95,877","147,137","3,220","3,843","3,805","2,606","2,047","3,035","147,137","3,035","121,812","3,060",21%,-1%,"1,377,481","34,443","1,088,016","26,342",27%,31%,"41,508","3,193","3,507",-9%,0,0,"3,507",-100%,"16,776","473,958",5,
Herbs Etc.,2026-03-15,"84,432","78,206","82,394","81,850","81,062","80,269","2,900","2,709","2,928","2,935","2,899","2,806","80,269","2,806","78,600","2,766",2%,1%,"922,373","33,748","870,386","30,345",6%,11%,"42,158","3,243","2,816",15%,0,0,"2,816",-100%,"25,213","454,539",8,
Coastal Pet,2026-03-15,"48,731","49,390","49,989","45,729","48,571","47,860","3,108","3,129","3,169","3,060","3,256","3,159","47,860","3,159","72,019","4,652",-34%,-32%,"515,640","33,281","771,585","51,612",-33%,-36%,"50,030","3,848","5,475",-30%,0,0,"5,475",-100%,"28,869","191,483",8,
Parkside Optical Inc.,2026-03-15,"56,864","55,450","53,874","56,652","70,035","56,591","2,437","2,474","2,386","2,506","3,109","2,528","56,591","2,528","79,543","3,567",-29%,-29%,"706,690","32,185","879,455","39,434",-20%,-18%,"36,653","2,819","2,601",8%,0,0,"2,601",-100%,"58,939","566,700",21,
Adaptive Sound Technologies,2026-03-15,"147,722","139,386","138,088","142,561","152,167","147,108","2,899","2,343","2,349","2,386","2,499","2,411","147,108","2,411","129,939","2,296",13%,5%,"1,718,330","32,168","1,524,741","27,555",13%,17%,"31,568","2,428","2,300",6%,0,0,"2,300",-100%,"24,262","782,146",10,
Iovate,2026-03-15,"104,162","132,229","135,173","136,389","124,859","120,214","4,159","5,159","5,305","5,279","5,051","5,073","120,214","5,073",0,0,,,"760,740","30,377",0,0,,,"67,159","5,166",,,0,0,,,"35,477","497,262",7,
Wisdom Panel,2026-03-15,"246,840","225,944","254,201","281,849","272,501","304,955","2,474","2,105","2,225","2,708","2,723","3,315","304,955","3,315","209,070","2,223",46%,49%,"2,899,046","28,221","2,904,363","30,894",0%,-9%,"66,207","5,093","1,954",161%,0,0,"1,954",-100%,"32,484","2,695,724",6,
Protocol For Life Balance,2026-03-15,"64,703","58,884","58,436","57,117","58,325","62,799","2,528","2,245","2,123","2,154","2,220","2,271","62,799","2,271","56,039","2,193",12%,4%,"730,948","28,107","648,884","26,421",13%,6%,"30,789","2,368","2,256",5%,0,0,"2,256",-100%,"19,983","224,394",8,
Bath & Body Works,2026-03-15,"2,237","23,277","64,027","79,192","93,765","132,930",174,"1,556","4,204","5,286","7,170","9,369","132,930","9,369",0,0,,,"395,854","27,790",0,0,,,"168,377","12,952",,,0,0,,,"83,254","565,954",6,
Panasonic,2026-03-15,"381,247","407,203","443,772","443,534","470,232","410,761","2,408","2,532","2,629","2,651","2,803","2,524","410,761","2,524","378,061","2,229",9%,13%,"4,464,087","27,684","4,200,111","25,815",6%,7%,"37,229","2,864","2,585",11%,0,0,"2,585",-100%,"9,873","1,028,198",3,
