CATALOG_BRAND,LAST_COMPLETED_WEEK_START,REV_WK_5,REV_WK_4,REV_WK_3,REV_WK_2,REV_WK_1,REV_WK_0,UNITS_WK_5,UNITS_WK_4,UNITS_WK_3,UNITS_WK_2,UNITS_WK_1,UNITS_WK_0,LAST_WEEK_REV,LAST_WEEK_UNITS,LAST_WEEK_REV_YOY,LAST_WEEK_UNITS_YOY,LAST_WEEK_REV_YOY_PCT,LAST_WEEK_UNITS_YOY_PCT,YTD_REV,YTD_UNITS,YTD_REV_YOY,YTD_UNITS_YOY,YTD_REV_YOY_PCT,YTD_UNITS_YOY_PCT,FCST_13W_UNITS_TOTAL_IM,FCST_13W_UNITS_RUN_RATE_IM,FCST_13W_UNITS_RUN_RATE_YOY_IM,FCST_13W_UNITS_RUN_RATE_YOY_PCT_IM,FCST_13W_UNITS_TOTAL_AE,FCST_13W_UNITS_RUN_RATE_AE,FCST_13W_UNITS_RUN_RATE_YOY_AE,FCST_13W_UNITS_RUN_RATE_YOY_PCT_AE,INVENTORY_UNITS,INVENTORY_VALUE_USD,WOS_WEEKS_IM,WOS_WEEKS_AE
Athlon Optics,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67,086",252,-100%,-100%,390,1,"680,112","2,469",-100%,-100%,68,5,251,-98%,0,0,251,-100%,272,"98,214",52,
Black Diamond Equipment,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,2,-100%,-100%,48,1,"1,417",20,-97%,-95%,0,0,0,-100%,0,0,0,-100%,3,121,,
Boscia,2026-03-15,0,0,0,0,0,10,0,0,0,0,0,1,10,1,0,0,,,10,1,0,0,,,51,4,0,"2,454%",0,0,0,-100%,3,45,1,
EastPak,2026-03-15,0,0,0,20,0,0,0,0,0,1,0,0,0,0,"4,360",32,-100%,-100%,20,1,"27,448",245,-100%,-100%,"1,075",83,4,"1,854%",0,0,4,-100%,5,70,0,
Google,2026-03-15,0,0,0,0,0,242,0,0,0,0,0,1,242,1,0,0,,,242,1,480,2,-50%,-50%,0,0,1,-100%,0,0,1,-100%,13,"2,970",,
Ion8,2026-03-15,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,,,16,1,18,1,-11%,0%,0,0,,,0,0,,,1,6,101,
Jarrow Formulas,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46,1,69,2,-33%,-50%,0,0,,,0,0,,,0,0,0,
Linksys USA,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,16,1,"1,302",9,-99%,-89%,0,0,1,-95%,0,0,1,-100%,2,965,67,
Nutraceutical,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,5,-100%,-100%,41,1,"6,367",194,-99%,-99%,0,0,0,-100%,0,0,0,-100%,3,48,,
Thymes Home,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,34,1,22,2,55%,-50%,49,4,0,"4,837%",0,0,0,-100%,19,39,5,
